scenario,theta_occ,theta_light,theta_plug
exp1_clean,0.8494842094215409,0.8846415472404903,0.7491662167246834
exp1_clean,1.2013325802965216,0.8491785019180709,0.8852886278433832
exp1_clean,0.9057563518685342,1.0301210557916507,0.8110703336473911
exp1_clean,0.9945027298195953,1.0916679335257506,1.033420379714661
exp1_clean,0.5882508667903731,1.12715089329585,0.8293764248449463
exp1_clean,1.0403213183208235,0.7911424951386469,0.9254783285777258
exp1_clean,0.9673462336521809,0.9981669069913475,0.8681063128166674
exp1_clean,0.6349380269711822,0.7154945052493297,0.9974903246043629
exp1_clean,0.6133227855947267,0.7415217557948366,1.0430525529318835
exp1_clean,0.5985178874399476,0.8816494566869443,1.3492363634050588
exp1_clean,0.9863163199560129,0.9582754231155705,0.9669992820241531
exp1_clean,1.1851970720708436,1.3676714128676954,0.6199986907712558
exp1_clean,0.7278095847395111,1.074989387569442,0.7296995823018103
exp1_clean,0.9844686408246508,1.0035142257280127,1.0044678651930774
exp1_clean,1.1211942819628784,0.8401259157078531,1.104499176540427
exp1_clean,0.8993538606463147,0.8110307298449836,0.6813383077535926
exp1_clean,0.8721862441851584,0.6306051593081863,0.8247137133957702
exp1_clean,0.7284042837455349,0.7803146528965129,1.1157609426134347
exp1_clean,0.6155786971328998,1.189636658235703,0.7770621058469196
exp1_clean,0.6106467054428494,0.9955249713545745,0.8077039937569327
exp1_clean,0.9336210709648721,0.8466800545959515,1.0869454352295111
exp1_clean,0.5448524203532641,0.8831679519895034,1.3001836284812855
exp1_clean,0.8771444376233668,1.074186882365995,0.9163137939375228
exp1_clean,0.9381177798674303,0.8123699389338842,1.1186232012516184
exp1_clean,0.6107356407325323,0.6424934512170163,1.2185035241546125
exp1_clean,0.5364641259572274,0.8421992691766773,1.331732058020895
exp1_clean,0.5795371414259742,1.0117694107270667,0.8597779072238283
exp1_clean,0.6114500618169864,1.2239394374544004,1.296477321432478
exp1_clean,1.2304839159499807,0.7777409642226174,0.6926861179757025
exp1_clean,0.5389862159133054,1.3204996701357168,0.9726159176811142
exp1_clean,0.6532113019590003,0.8324437515678397,0.9570615572236261
exp1_clean,0.73992766334401,0.8062747389229346,1.0821274367877287
exp1_clean,0.8951280133013726,0.7270268919006292,0.7457145933077823
exp1_clean,0.8237933251174518,0.7039204009095824,0.5931317124630618
exp1_clean,0.5809895281450559,0.7951530103882911,0.6639126283524732
exp1_clean,0.9600993263460249,0.6708552162509969,0.9751310941799332
exp1_clean,0.8925235365168812,1.1382399665361385,1.1630440517742069
exp1_clean,0.9416869062556508,1.0430605312077101,1.1567233630986067
exp1_clean,1.2396172702457058,0.7940701210813332,0.8023830306524837
exp1_clean,0.6032697402999474,0.8334065579885016,1.270194079084935
exp1_clean,0.9951823990545496,1.1417247004252116,0.7691803333425404
exp1_clean,0.6572737911658849,1.3218415088257751,1.1521491404493065
exp1_clean,0.673989974343365,0.9170402739898801,1.0967199669733074
exp1_clean,0.6596747612305348,1.1126601552203563,1.0183815626781076
exp1_clean,1.1050407542883567,0.9376687628943106,1.0621918961164738
exp1_clean,0.7921317688918099,0.7211015743733451,0.6347245512605726
exp1_clean,0.8697049179616987,0.9098097146659353,0.9413462176937423
exp1_clean,0.9690332159469537,0.9140135158887834,0.9535244206744662
exp1_clean,0.6654876164383314,0.8094460847023836,0.9494617534580114
exp1_clean,0.8886675881413453,0.8427146315612243,1.0964949099105241
exp1_clean,0.9859877775079842,0.6963374465702044,0.915800565297242
exp1_clean,0.7541130909533744,1.1045722369795299,0.7498604727731896
exp1_clean,0.9323409482468221,0.5926615375582412,0.9590384017265312
exp1_clean,0.5513672717290826,1.124981097016282,0.9082343988007422
exp1_clean,0.6224794945079697,0.9980662775216297,1.3981681760110214
exp1_clean,1.4097743142120738,0.9250033093893871,0.6590847628725148
exp1_clean,0.567907922358523,0.8259193873326824,0.6282782647032226
exp1_clean,0.9743031887049582,0.6838727310695003,0.8893384898019002
exp1_clean,1.0462312466837704,0.6384909584033557,1.2064121086626856
exp1_clean,0.999860659557152,0.6696249136815176,0.9342818255143162
exp1_clean,0.9240602547694061,1.0912130889141183,0.8964697219657477
exp1_clean,1.029103339291571,1.1682960878640412,0.7640188271865491
exp1_clean,0.9848028228192581,0.992873279320368,0.9047529777937878
exp1_clean,0.8692809156319885,1.3962428575655679,0.6270906762966748
exp1_clean,0.8087764813874179,0.9230244909647808,1.2979798733394703
exp1_clean,0.8795638620897477,0.8646826878621809,0.7487521745326352
exp1_clean,0.7276949478425261,0.814545989138559,1.1260562390846518
exp1_clean,1.1334716858669114,0.6167415681974174,0.8106511731449747
exp1_clean,0.7796710658844839,0.6186732052143448,0.6883172625601536
exp1_clean,0.6491969014040015,1.3781416655783092,0.9676100426435085
exp1_clean,0.6042733123611411,0.7995520570297566,0.6511350235531937
exp1_clean,0.7635679573187977,0.657285244672578,0.8724506708587285
exp1_clean,0.6281235060020643,0.7160591263637925,1.031207882241603
exp1_clean,0.5545529086842932,0.845289879592402,1.3481124942466753
exp1_clean,0.7444144265356526,0.8244647816693571,1.1482825804640424
exp1_clean,0.6563715372720977,1.3653223586739387,0.949598640418429
